age,income,debt,loan_amount,credit_history_years,payment_history,number_of_loans,employment_years,creditworthy
22,25000,12000,50000,1,65,2,1,0
25,30000,5000,40000,2,75,1,2,0
28,45000,8000,60000,4,85,2,4,1
30,50000,7000,80000,5,90,2,5,1
35,65000,10000,100000,8,95,2,10,1
40,80000,15000,150000,12,98,3,15,1
23,22000,15000,60000,1,55,3,1,0
27,35000,12000,70000,3,70,2,3,0
32,55000,9000,90000,6,92,2,7,1
45,90000,12000,180000,15,99,2,20,1
29,40000,20000,100000,3,68,4,3,0
31,60000,8000,120000,7,94,2,8,1
24,28000,14000,55000,2,60,3,2,0
36,70000,9000,130000,10,96,2,12,1
26,32000,6000,50000,3,82,1,3,1
38,75000,18000,140000,11,88,3,14,1
21,18000,10000,30000,1,50,2,1,0
33,48000,15000,85000,5,78,3,6,0
42,85000,10000,160000,13,97,2,18,1
30,42000,18000,90000,4,72,3,5,0
